School,ID,Diploma_Honors,Diploma_Core40,Diploma_General,Waiver_Yes,Waiver_No,AP_Passed,AP_NotPassed,AP_NotTaken,DualCredit_Yes,DualCredit_No,21Century_Yes,21Century_No,LunchFR_Yes,LunchFR_No,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_Other
NortheastDuboisHighSchool,1545,34,29,10,2,71,3,15,55,42,31,,56,10,63,72,0,0,1,0
NortheasternHighSchool,8927,35,48,9,3,89,18,19,55,61,31,,70,22,70,90,0,1,0,1
NorthfieldJrSrHighSchool,8651,28,31,19,12,66,6,25,47,60,18,,65,22,56,72,0,1,1,4
NorthridgeHighSchool,1733,97,137,53,7,280,35,10,242,170,117,,249,57,230,256,1,15,3,12
NorthropHighSchool,0219,108,294,14,37,379,25,36,355,211,205,,329,175,241,276,66,48,9,17
NorthviewHighSchool,0933,68,105,37,6,204,25,21,164,159,51,,163,71,139,200,0,4,1,5
NorthwestCommunityHighSchool,5483,9,87,2,16,82,3,12,83,29,69,,71,62,36,9,58,24,4,3
NorthwesternSeniorHighSchool,2897,77,49,18,1,143,17,40,87,101,43,,129,23,121,132,1,5,3,3
NorwellHighSchool,9087,51,89,43,18,165,13,17,153,110,73,,171,38,145,172,0,4,0,7
OakHillHighSchool,6069,42,49,11,0,102,23,23,56,71,31,,83,16,86,97,1,1,1,2
OaklandHighSchool,8015,0,4,8,3,9,0,0,12,0,12,0,12,4,8,9,3,0,0,0
OldenburgAcademy,D135,31,18,0,0,49,15,12,22,48,1,8,41,8,41,46,0,0,2,1
OptionsCharterSchoolCarmel,2524,0,7,19,5,21,0,0,26,4,22,0,26,8,18,20,1,0,1,4
OptionsCharterSchoolNoblesville,2551,0,11,16,0,27,0,1,26,7,20,1,26,7,20,26,1,0,0,0
OregonDavisJrSrHighSchool,7831,11,24,8,0,43,4,12,27,11,32,,32,21,22,40,0,1,0,2
OrleansJrSrHighSch,6573,24,21,16,0,61,1,1,59,47,14,,39,27,34,60,0,1,0,0
OwenValleyCommunityHS,6613,54,76,36,14,152,4,4,158,101,65,,142,60,106,162,0,1,2,1
PaddockViewResidentialCenter,B167,,,,,,,,,,,,,,,,,,,
PendletonHeightsHighSchool,5053,105,114,88,16,291,50,86,171,136,171,,265,75,232,288,7,8,2,2
PennHighSchool,7353,383,620,16,205,814,226,109,684,562,457,,948,187,832,789,93,60,38,39
PerryMeridianHighSchool,5307,154,292,59,82,423,129,105,271,155,350,,432,223,282,327,38,35,79,26
PeruHighSchool,6085,47,73,18,15,123,6,46,86,104,34,,99,52,86,125,1,5,0,7
PikeHighSchool,5353,146,345,176,56,611,97,152,418,313,354,,538,395,272,68,432,102,18,47
PinnacleSchool,C899,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
PioneerJrSrHighSchool,0645,19,28,2,2,47,6,9,34,32,17,,33,12,37,48,0,1,0,0
PlainfieldHighSchool,2749,181,159,17,1,356,73,70,214,272,85,,304,70,287,320,8,12,14,3
PlymouthHighSchool,5945,66,136,58,12,248,89,22,149,148,112,,230,111,149,204,1,48,3,4
PortageChristianSchool,D080,5,6,1,8,4,0,0,12,0,12,0,12,0,12,10,1,1,0,0
PortageHighSchool,6853,154,351,32,29,508,38,36,463,313,224,,450,238,299,342,54,98,5,38
