School,ID,Ball State University,Indiana State University,University of Southern Indiana,IU-Bloomington,IU-East,IU-Kokomo,IU-Northwest,IU-Purdue University-Indianapolis,IU-South Bend,IU-Southeast,IU-Purdue University-Fort Wayne,PU-Calumet Campus,PU-North Central Campus,PU-Polytechnic Statewide,PU-West Lafayette,Ivy Tech Community College,Vincennes University
NorthviewHighSchool,0933,2,61,7,6,0,0,0,14,0,1,0,0,0,0,2,26,3
NorthwestCommunityHighSchool,5483,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,20,0
NorthwesternSeniorHighSchool,2897,4,4,0,6,0,36,0,11,1,0,1,0,0,0,7,16,0
NorwellHighSchool,9087,3,2,0,4,0,0,0,1,0,0,36,0,0,0,6,19,0
OakHillHighSchool,6069,9,0,0,1,0,13,0,6,1,0,0,0,0,0,3,21,2
OaklandHighSchool,8015,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
OldenburgAcademy,D135,8,0,1,7,1,0,0,4,0,0,0,0,0,0,6,2,0
OptionsCharterSchoolCarmel,2524,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
OptionsCharterSchoolNoblesville,2551,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
OregonDavisJrSrHighSchool,7831,1,0,0,0,0,0,0,0,4,0,0,0,2,1,1,4,1
OrleansJrSrHighSch,6573,1,6,0,2,0,0,0,2,0,7,0,0,0,1,1,5,9
OwenValleyCommunityHS,6613,0,10,4,10,0,0,0,5,0,0,0,0,0,0,8,36,7
PaddockViewResidentialCenter,B167,,,,,,,,,,,,,,,,,
PendletonHeightsHighSchool,5053,28,12,3,20,1,0,0,24,1,1,1,0,0,1,11,60,5
PennHighSchool,7353,22,7,0,79,0,0,0,32,123,0,1,1,0,5,79,64,3
PerryMeridianHighSchool,5307,15,19,4,26,1,0,0,54,0,2,0,0,1,0,8,91,9
PeruHighSchool,6085,4,6,0,1,0,21,0,3,0,0,3,0,0,1,4,16,1
PikeHighSchool,5353,24,53,9,60,0,1,0,55,0,0,0,0,0,0,13,110,27
